Measure Mode: wall_time
Thread ID: 69917501084600
Fiber ID: 69917530404360
Total: 54.721102
Sort by: self_time

 %self      total      self      wait     child     calls  name
 19.17     19.015    10.492     8.524     0.000     6000   IO#gets
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917510341020
Fiber ID: 69917511871720
Total: 30.319471
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     30.319     0.000    30.319     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917511972920
Fiber ID: 69917512196260
Total: 30.301075
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     30.301     0.000    30.301     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917512209040
Fiber ID: 69917518309060
Total: 30.293464
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.06     30.293     0.019    30.274     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917518356320
Fiber ID: 69917518418720
Total: 30.273652
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     30.274     0.000    30.274     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917518417500
Fiber ID: 69917520303380
Total: 30.261794
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.05     30.262     0.016    30.246     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917520329380
Fiber ID: 69917520418680
Total: 30.245669
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     30.246     0.000    30.246     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917520417680
Fiber ID: 69917521249320
Total: 30.238760
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.06     30.239     0.017    30.222     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917521329440
Fiber ID: 69917521423920
Total: 30.221756
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     30.222     0.000    30.222     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917521444520
Fiber ID: 69917522358600
Total: 30.210148
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.03     30.210     0.009    30.201     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917522356340
Fiber ID: 69917522413660
Total: 30.200969
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     30.201     0.000    30.201     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917522427840
Fiber ID: 69917527781400
Total: 30.193237
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.06     30.193     0.018    30.175     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917527777820
Fiber ID: 69917527824080
Total: 30.174492
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     30.174     0.000    30.174     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917527823520
Fiber ID: 69917528114940
Total: 30.162921
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     30.163     0.000    30.163     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917528170540
Fiber ID: 69917528189160
Total: 30.153139
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     30.153     0.000    30.153     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917528188140
Fiber ID: 69917528798120
Total: 30.145544
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     30.146     0.000    30.145     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917528793600
Fiber ID: 69917528907600
Total: 30.136408
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     30.136     0.000    30.136     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917528906460
Fiber ID: 69917529436120
Total: 30.123283
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.01     30.123     0.004    30.119     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917529434560
Fiber ID: 69917529475820
Total: 30.118944
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     30.119     0.000    30.119     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917529474120
Fiber ID: 69917529981640
Total: 30.107210
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.01     30.107     0.004    30.103     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917530069800
Fiber ID: 69917530130940
Total: 30.102426
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     30.102     0.000    30.102     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917530130240
Fiber ID: 69917531134720
Total: 30.091082
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.02     30.091     0.006    30.086     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917531130280
Fiber ID: 69917531405980
Total: 30.085133
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     30.085     0.000    30.085     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917531403340
Fiber ID: 69917532754560
Total: 30.074704
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.02     30.075     0.006    30.069     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917532790640
Fiber ID: 69917532932380
Total: 30.068723
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     30.069     0.000    30.069     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917532952580
Fiber ID: 69917534273040
Total: 30.060926
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.09     30.061     0.026    30.035     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917534322400
Fiber ID: 69917534415900
Total: 30.034354
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     30.034     0.000    30.034     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917534413260
Fiber ID: 69917535969040
Total: 30.028649
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     30.029     0.000    30.029     0.000        1   Stomp::Client#start_listeners
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917536716540
Fiber ID: 69917536851620
Total: 30.016649
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     30.017     0.000    30.017     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917536849880
Fiber ID: 69917561781440
Total: 30.008362
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.06     30.008     0.018    29.990     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917561779200
Fiber ID: 69917564271880
Total: 29.908881
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     29.909     0.000    29.909     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917564272480
Fiber ID: 69917502114180
Total: 29.903951
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     29.904     0.000    29.904     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917506512700
Fiber ID: 69917506919840
Total: 29.881945
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     29.882     0.000    29.882     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917506936480
Fiber ID: 69917511342840
Total: 29.871981
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.02     29.872     0.007    29.865     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917511351460
Fiber ID: 69917511416880
Total: 29.864842
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     29.865     0.000    29.865     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917511411000
Fiber ID: 69917517590640
Total: 29.858131
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     29.858     0.000    29.858     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917517877380
Fiber ID: 69917517934080
Total: 29.845772
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     29.846     0.000    29.846     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917517932680
Fiber ID: 69917519810460
Total: 29.835062
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.02     29.835     0.006    29.829     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917519808980
Fiber ID: 69917519864260
Total: 29.828998
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     29.829     0.000    29.829     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917519904700
Fiber ID: 69917520446540
Total: 29.824297
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     29.824     0.000    29.824     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917520852020
Fiber ID: 69917520954000
Total: 29.805148
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     29.805     0.000    29.805     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917520984080
Fiber ID: 69917521552040
Total: 29.796317
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     29.796     0.000    29.796     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917521819040
Fiber ID: 69917521867120
Total: 29.784992
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.07     29.785     0.022    29.763     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917521866700
Fiber ID: 69917522496660
Total: 29.777333
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     29.777     0.000    29.777     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917521871220
Fiber ID: 69917521971900
Total: 29.766470
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     29.766     0.000    29.766     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917521970300
Fiber ID: 69917527872260
Total: 29.761383
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     29.761     0.000    29.761     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917528064780
Fiber ID: 69917528515820
Total: 29.733935
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.06     29.734     0.016    29.717     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917528562060
Fiber ID: 69917528612740
Total: 29.717106
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     29.717     0.000    29.717     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917528611960
Fiber ID: 69917529191480
Total: 29.709302
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04     29.709     0.010    29.699     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917529189640
Fiber ID: 69917529206800
Total: 29.698569
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     29.699     0.000    29.699     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917529206060
Fiber ID: 69917529769320
Total: 29.689876
Sort by: self_time

 %self      total      self      wait     child     calls  name
  4.01     29.690     1.189    28.500     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917529832980
Fiber ID: 69917529882500
Total: 28.500074
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     28.500     0.000    28.500     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917529881800
Fiber ID: 69917530254000
Total: 28.488951
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.002     0.001     0.000     0.000        1   IO#gets
  0.00     28.489     0.000    28.487     0.002        1   Stomp::Client#start_listeners
  0.00      0.002     0.000     0.000     0.002        2   Mutex#synchronize
  0.00      0.000     0.000     0.000     0.000        1   Kernel#nil?
  0.00      0.002     0.000     0.000     0.002        1   Stomp::Connection#receive
  0.00      0.002     0.000     0.000     0.002        1   Stomp::Connection#_init_line_read
  0.00      0.002     0.000     0.000     0.002        1   Stomp::Connection#__old_receive
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#socket
  0.00      0.002     0.000     0.000     0.002        1   Stomp::Connection#_receive
  0.00      0.000     0.000     0.000     0.000        2   Stomp::Connection#closed?
  0.00      0.000     0.000     0.000     0.000        1   NilClass#nil?

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917530467640
Fiber ID: 69917530680180
Total: 28.444762
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     28.445     0.000    28.445     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917530731840
Fiber ID: 69917531624300
Total: 28.434762
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.002     0.001     0.000     0.000        1   IO#gets
  0.00     28.435     0.000    28.433     0.002        1   Stomp::Client#start_listeners
  0.00      0.002     0.000     0.000     0.002        2   Mutex#synchronize
  0.00      0.002     0.000     0.000     0.002        1   Stomp::Connection#receive
  0.00      0.000     0.000     0.000     0.000        1   NilClass#nil?
  0.00      0.002     0.000     0.000     0.002        1   Stomp::Connection#__old_receive
  0.00      0.002     0.000     0.000     0.002        1   Stomp::Connection#_receive
  0.00      0.002     0.000     0.000     0.002        1   Stomp::Connection#_init_line_read
  0.00      0.000     0.000     0.000     0.000        2   Stomp::Connection#closed?
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#socket
  0.00      0.000     0.000     0.000     0.000        1   Kernel#nil?

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917532089860
Fiber ID: 69917532170520
Total: 28.359647
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     28.360     0.001    28.359     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917532222960
Fiber ID: 69917533137720
Total: 28.349650
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.000     0.000     0.000     0.000        1   IO#gets
  0.00     28.350     0.000    28.349     0.000        1   Stomp::Client#start_listeners
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#_init_line_read
  0.00      0.000     0.000     0.000     0.000        2   Mutex#synchronize
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#__old_receive
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#receive
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#socket
  0.00      0.000     0.000     0.000     0.000        1   Kernel#nil?
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#_receive
  0.00      0.000     0.000     0.000     0.000        1   NilClass#nil?
  0.00      0.000     0.000     0.000     0.000        2   Stomp::Connection#closed?

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917533607500
Fiber ID: 69917533702300
Total: 28.324762
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     28.325     0.000    28.325     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917533701160
Fiber ID: 69917534553880
Total: 28.317465
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     28.317     0.000    28.317     0.000        1   Stomp::Client#start_listeners
  0.00      0.000     0.000     0.000     0.000        1   IO#gets
  0.00      0.000     0.000     0.000     0.000        2   Mutex#synchronize
  0.00      0.000     0.000     0.000     0.000        2   Stomp::Connection#closed?
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#__old_receive
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#_init_line_read
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#receive
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#_receive
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#socket
  0.00      0.000     0.000     0.000     0.000        1   Kernel#nil?
  0.00      0.000     0.000     0.000     0.000        1   NilClass#nil?

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917535997940
Fiber ID: 69917536887680
Total: 28.285103
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.01     28.285     0.002    28.283     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917500964920
Fiber ID: 69917503996600
Total: 28.211084
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     28.211     0.000    28.195     0.016        1   Stomp::Client#start_listeners
  0.00      0.016     0.000     0.016     0.000        1   IO#gets
  0.00      0.016     0.000     0.000     0.016        2   Mutex#synchronize
  0.00      0.016     0.000     0.000     0.016        1   Stomp::Connection#_init_line_read
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#socket
  0.00      0.016     0.000     0.000     0.016        1   Stomp::Connection#__old_receive
  0.00      0.016     0.000     0.000     0.016        1   Stomp::Connection#receive
  0.00      0.000     0.000     0.000     0.000        2   Stomp::Connection#closed?
  0.00      0.000     0.000     0.000     0.000        1   Kernel#nil?
  0.00      0.016     0.000     0.000     0.016        1   Stomp::Connection#_receive
  0.00      0.000     0.000     0.000     0.000        1   NilClass#nil?

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917510852040
Fiber ID: 69917510312440
Total: 28.096753
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     28.097     0.000    28.097     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917510339080
Fiber ID: 69917511357700
Total: 28.075650
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     28.076     0.000    28.075     0.001        1   Stomp::Client#start_listeners
  0.00      0.001     0.000     0.001     0.000        1   IO#gets
  0.00      0.001     0.000     0.000     0.001        2   Mutex#synchronize
  0.00      0.001     0.000     0.000     0.001        1   Stomp::Connection#_init_line_read
  0.00      0.001     0.000     0.000     0.001        1   Stomp::Connection#receive
  0.00      0.001     0.000     0.000     0.001        1   Stomp::Connection#__old_receive
  0.00      0.000     0.000     0.000     0.000        2   Stomp::Connection#closed?
  0.00      0.000     0.000     0.000     0.000        1   Kernel#nil?
  0.00      0.001     0.000     0.000     0.001        1   Stomp::Connection#_receive
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#socket
  0.00      0.000     0.000     0.000     0.000        1   NilClass#nil?

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917511970500
Fiber ID: 69917512210000
Total: 28.016193
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     28.016     0.000    28.016     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917512205180
Fiber ID: 69917517991700
Total: 28.001943
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.02     28.002     0.005    27.997     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917518355040
Fiber ID: 69917518417500
Total: 27.899039
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     27.899     0.000    27.899     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917518415180
Fiber ID: 69917519863840
Total: 27.888810
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.02     27.889     0.005    27.884     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917520327840
Fiber ID: 69917520417320
Total: 27.787041
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     27.787     0.001    27.786     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917520416100
Fiber ID: 69917520954700
Total: 27.777679
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     27.778     0.000    27.778     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917521338020
Fiber ID: 69917521443120
Total: 27.704425
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     27.704     0.000    27.704     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917521436880
Fiber ID: 69917521868540
Total: 27.659477
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     27.659     0.000    27.659     0.000        1   Stomp::Client#start_listeners
  0.00      0.000     0.000     0.000     0.000        1   IO#gets
  0.00      0.000     0.000     0.000     0.000        2   Mutex#synchronize
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#_init_line_read
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#__old_receive
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#receive
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#socket
  0.00      0.000     0.000     0.000     0.000        2   Stomp::Connection#closed?
  0.00      0.000     0.000     0.000     0.000        1   Kernel#nil?
  0.00      0.000     0.000     0.000     0.000        1   Stomp::Connection#_receive
  0.00      0.000     0.000     0.000     0.000        1   NilClass#nil?

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917522354360
Fiber ID: 69917522425380
Total: 27.569763
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep
  0.00     27.570     0.000    27.570     0.000        1   Timeout#timeout

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917527799620
Fiber ID: 69917527822500
Total: 27.506211
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     27.506     0.000    27.506     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917527821840
Fiber ID: 69917528067220
Total: 27.495811
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     27.496     0.000    27.496     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917528183920
Fiber ID: 69917528225440
Total: 27.470689
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     27.471     0.000    27.470     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917528223740
Fiber ID: 69917528808680
Total: 27.456982
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.07     27.457     0.019    27.438     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917528806460
Fiber ID: 69917528904840
Total: 27.437171
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     27.437     0.001    27.436     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917528904000
Fiber ID: 69917529206580
Total: 27.428316
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     27.428     0.000    27.428     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917529452060
Fiber ID: 69917529486620
Total: 27.392340
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     27.392     0.000    27.392     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917529485720
Fiber ID: 69917529882120
Total: 27.383435
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     27.383     0.000    27.383     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917530063800
Fiber ID: 69917530175440
Total: 27.354011
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     27.354     0.000    27.354     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917530173180
Fiber ID: 69917530732860
Total: 27.347098
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     27.347     0.000    27.347     0.000        1   Stomp::Client#start_listeners

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917531271440
Fiber ID: 69917531459640
Total: 27.286544
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00     27.287     0.000    27.286     0.000        1   Timeout#timeout
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep

* indicates recursively called methods
Measure Mode: wall_time
Thread ID: 69917531457640
Fiber ID: 69917532822860
Total: 27.275236
Sort by: self_time

